date,year,month,daily_volume_average
1/1/2019,2019,January,160605
2/1/2019,2019,February,167434
3/1/2019,2019,March,143450
4/1/2019,2019,April,152420
5/1/2019,2019,May,145813
6/1/2019,2019,June,125593
7/1/2019,2019,July,108587
8/1/2019,2019,August,139600
9/1/2019,2019,September,173063
10/1/2019,2019,October,128908
11/1/2019,2019,November,133352
12/1/2019,2019,December,120806
1/1/2020,2020,January,145983
2/1/2020,2020,February,145140
3/1/2020,2020,March,152482
4/1/2020,2020,April,128428
5/1/2020,2020,May,132890
6/1/2020,2020,June,117681
7/1/2020,2020,July,110891
8/1/2020,2020,August,97160
9/1/2020,2020,September,102024
10/1/2020,2020,October,113275
11/1/2020,2020,November,170670
12/1/2020,2020,December,143100
1/1/2021,2021,January,174889
2/1/2021,2021,February,197733
3/1/2021,2021,March,153024
4/1/2021,2021,April,145014
5/1/2021,2021,May,182019
6/1/2021,2021,June,172692
