1/1/2019,2019,January,99538,61067
2/1/2019,2019,February,117831,49602
3/1/2019,2019,March,93416,50034
4/1/2019,2019,April,100261,52159
5/1/2019,2019,May,83068,62745
6/1/2019,2019,June,82233,43360
7/1/2019,2019,July,68475,40111
8/1/2019,2019,August,83735,55865
9/1/2019,2019,September,119104,53959
10/1/2019,2019,October,80844,48063
11/1/2019,2019,November,97079,36272
12/1/2019,2019,December,79056,41750
1/1/2020,2020,January,94936,51046
2/1/2020,2020,February,90275,54864
3/1/2020,2020,March,85495,66986
4/1/2020,2020,April,81468,46960
5/1/2020,2020,May,86499,46390
6/1/2020,2020,June,82388,35293
7/1/2020,2020,July,75837,35053
8/1/2020,2020,August,68894,28266
9/1/2020,2020,September,61532,40492
10/1/2020,2020,October,74236,39038
11/1/2020,2020,November,118493,52176
12/1/2020,2020,December,97086,46013
1/1/2021,2021,January,113240,61649
2/1/2021,2021,February,129326,68406
3/1/2021,2021,March,110972,42051
4/1/2021,2021,April,98364,46650
5/1/2021,2021,May,117204,64814
6/1/2021,2021,June,112539,63164
